gene,compound
KCNN1,PP-1
ABL1,PP-1
SSTR2,PP-1
HSP90AA1,PP-1
TUBB4B,PP-1
EZH2,PP-1
PNLIP,PP-1
CYP2A6,PP-1
CSF1R,PP-1
S100B,PP-1
PDE7A,PP-1
AURKB,PP-1
CDC25A,PP-1
KCNK1,PP-1
CA14,PP-1
ICAM1,PP-1
GPR55,PP-1
OPRM1,PP-1
VEGFA,PP-1
ADH1C,PP-1
KCTD16,PP-1
CYP3A4,PP-1
AVPR1A,PP-1
MAPK8,PP-1
TNNC1,PP-1
GABRB2,PP-1
MMP2,PP-1
RET,PP-1
NAMPT,PP-1
CASP3,PP-1
KRAS,PP-1
BTK,PP-1
SLC29A1,PP-1
FFAR4,PP-1
PPARD,PP-1
BAX,PP-1
RGS4,PP-1
CDK7,PP-1
PPAT,PP-1
KCNJ1,PP-1
ATP5F1D,PP-1
PDPK1,PP-1
IGF1R,PP-1
MET,PP-1
GLRA3,PP-1
PIK3CG,PP-1
TBXAS1,PP-1
PLD1,PP-1
DHH,PP-1
AKT1,PP-1
CDK2,PP-1
PARP3,PP-1
PLK1,PP-1
ATM,PP-1
IMPDH1,PP-1
TUBB3,PP-1
BRAF,PP-1
HBB,PP-1
LYN,PP-1
ANXA1,PP-1
CCR1,PP-1
ALK,PP-1
HDAC3,PP-1
PTGIR,PP-1
RPL23A,PP-1
FLT3,PP-1
MME,PP-1
CTSG,PP-1
PAK4,PP-1
GPR119,PP-1
SCNN1G,PP-1
GJB4,PP-1
S1PR4,PP-1
IL1B,PP-1
F10,PP-1
ELANE,PP-1
RPL3,PP-1
ERBB2,PP-1
AKR1B1,PP-1
GUCY1B1,PP-1
ADRA2B,PP-1
HCK,PP-1
P3H1,PP-1
CA5A,PP-1
DCK,PP-1
TNF,PP-1
RNASE1,PP-1
PTGIS,PP-1
PRKCE,PP-1
FPR1,PP-1
FGF1,PP-1
CDK9,PP-1
KDR,PP-1
EDNRB,PP-1
ASIC1,PP-1
JAK1,PP-1
PLA2G1B,PP-1
BRD4,PP-1
TUBB,PP-1
AGER,PP-1
S1PR2,PP-1
PDE4D,PP-1
CHEK2,PP-1
PAK1,PP-1
HDAC6,PP-1
DYRK1B,PP-1
USP1,PP-1
CYP1A2,PP-1
CACNG1,PP-1
HTR2C,PP-1
DNMT3A,PP-1
PORCN,PP-1
GAA,PP-1
PRKCB,PP-1
PTK2B,PP-1
CLK1,PP-1
CACNA2D3,PP-1
HSD11B1,PP-1
HTR3A,PP-1
ADA,PP-1
PDE3A,PP-1
NTRK1,PP-1
LCK,PP-1
KCNH7,PP-1
SIRT2,PP-1
P2RY12,PP-1
HIF1A,AVL-292
CATSPER4,AVL-292
DDR2,AVL-292
OPRL1,AVL-292
SLC7A11,AVL-292
FFAR2,AVL-292
KCNMA1,AVL-292
HRH4,AVL-292
GHSR,AVL-292
ALDH2,AVL-292
COMT,AVL-292
PTPN2,AVL-292
KCNQ2,AVL-292
ITGB2,AVL-292
S1PR1,AVL-292
FOXM1,AVL-292
MAPK14,AVL-292
SLCO2B1,AVL-292
KCNN4,AVL-292
GRIN2A,AVL-292
CACNB4,AVL-292
HSP90AB1,AVL-292
CSK,AVL-292
AKR1C1,AVL-292
CHRM2,AVL-292
TGFBR1,AVL-292
TGM2,AVL-292
CDK4,AVL-292
LPAR1,AVL-292
CHRM3,AVL-292
UGT1A9,AVL-292
HPGDS,AVL-292
ADORA2A,AVL-292
CCND1,AVL-292
KCNN1,AVL-292
ABL1,AVL-292
SSTR2,AVL-292
HSP90AA1,AVL-292
TUBB4B,AVL-292
EZH2,AVL-292
PNLIP,AVL-292
CYP2A6,AVL-292
CSF1R,AVL-292
S100B,AVL-292
PDE7A,AVL-292
AURKB,AVL-292
CDC25A,AVL-292
KCNK1,AVL-292
CA14,AVL-292
ICAM1,AVL-292
GPR55,AVL-292
OPRM1,AVL-292
VEGFA,AVL-292
ADH1C,AVL-292
KCTD16,AVL-292
CYP3A4,AVL-292
AVPR1A,AVL-292
MAPK8,AVL-292
TNNC1,AVL-292
GABRB2,AVL-292
MMP2,AVL-292
RET,AVL-292
NAMPT,AVL-292
CASP3,AVL-292
KRAS,AVL-292
BTK,AVL-292
SLC29A1,AVL-292
FFAR4,AVL-292
PPARD,AVL-292
BAX,AVL-292
RGS4,AVL-292
CDK7,AVL-292
PPAT,AVL-292
KCNJ1,AVL-292
ATP5F1D,AVL-292
PDPK1,AVL-292
IGF1R,AVL-292
MET,AVL-292
GLRA3,AVL-292
PIK3CG,AVL-292
TBXAS1,AVL-292
PLD1,AVL-292
DHH,AVL-292
AKT1,AVL-292
CDK2,AVL-292
PARP3,AVL-292
PLK1,AVL-292
ATM,AVL-292
IMPDH1,AVL-292
TUBB3,AVL-292
BRAF,AVL-292
HBB,AVL-292
LYN,AVL-292
ANXA1,AVL-292
CCR1,AVL-292
ALK,AVL-292
HDAC3,AVL-292
PTGIR,AVL-292
RPL23A,AVL-292
FLT3,AVL-292
MME,AVL-292
CTSG,AVL-292
PAK4,AVL-292
GPR119,AVL-292
SCNN1G,AVL-292
GJB4,AVL-292
S1PR4,AVL-292
IL1B,AVL-292
F10,AVL-292
ELANE,AVL-292
RPL3,AVL-292
ERBB2,AVL-292
AKR1B1,AVL-292
GUCY1B1,AVL-292
ADRA2B,AVL-292
HCK,AVL-292
P3H1,AVL-292
CA5A,AVL-292
DCK,AVL-292
TNF,AVL-292
RNASE1,AVL-292
PTGIS,AVL-292
PRKCE,AVL-292
FPR1,AVL-292
FGF1,AVL-292
CDK9,AVL-292
KDR,AVL-292
EDNRB,AVL-292
ASIC1,AVL-292
JAK1,AVL-292
PLA2G1B,AVL-292
BRD4,AVL-292
TUBB,AVL-292
AGER,AVL-292
S1PR2,AVL-292
PDE4D,AVL-292
CHEK2,AVL-292
PAK1,AVL-292
HDAC6,AVL-292
DYRK1B,AVL-292
USP1,AVL-292
CYP1A2,AVL-292
CACNG1,AVL-292
HTR2C,AVL-292
DNMT3A,AVL-292
PORCN,AVL-292
GAA,AVL-292
PRKCB,AVL-292
PTK2B,AVL-292
CLK1,AVL-292
CACNA2D3,AVL-292
HSD11B1,AVL-292
HTR3A,AVL-292
ADA,AVL-292
PDE3A,AVL-292
NTRK1,AVL-292
LCK,AVL-292
KCNH7,AVL-292
SIRT2,AVL-292
P2RY12,AVL-292
HIF1A,H2L-5765834
CATSPER4,H2L-5765834
DDR2,H2L-5765834
OPRL1,H2L-5765834
SLC7A11,H2L-5765834
FFAR2,H2L-5765834
KCNMA1,H2L-5765834
HRH4,H2L-5765834
GHSR,H2L-5765834
ALDH2,H2L-5765834
COMT,H2L-5765834
PTPN2,H2L-5765834
KCNQ2,H2L-5765834
ITGB2,H2L-5765834
S1PR1,H2L-5765834
FOXM1,H2L-5765834
MAPK14,H2L-5765834
SLCO2B1,H2L-5765834
KCNN4,H2L-5765834
GRIN2A,H2L-5765834
CACNB4,H2L-5765834
HSP90AB1,H2L-5765834
CSK,H2L-5765834
AKR1C1,H2L-5765834
CHRM2,H2L-5765834
TGFBR1,H2L-5765834
TGM2,H2L-5765834
CDK4,H2L-5765834
LPAR1,H2L-5765834
CHRM3,H2L-5765834
UGT1A9,H2L-5765834
HPGDS,H2L-5765834
ADORA2A,H2L-5765834
CCND1,H2L-5765834
KCNN1,H2L-5765834
ABL1,H2L-5765834
SSTR2,H2L-5765834
HSP90AA1,H2L-5765834
TUBB4B,H2L-5765834
EZH2,H2L-5765834
PNLIP,H2L-5765834
CYP2A6,H2L-5765834
CSF1R,H2L-5765834
S100B,H2L-5765834
PDE7A,H2L-5765834
AURKB,H2L-5765834
CDC25A,H2L-5765834
KCNK1,H2L-5765834
CA14,H2L-5765834
ICAM1,H2L-5765834
GPR55,H2L-5765834
OPRM1,H2L-5765834
VEGFA,H2L-5765834
ADH1C,H2L-5765834
KCTD16,H2L-5765834
CYP3A4,H2L-5765834
AVPR1A,H2L-5765834
MAPK8,H2L-5765834
TNNC1,H2L-5765834
GABRB2,H2L-5765834
MMP2,H2L-5765834
RET,H2L-5765834
NAMPT,H2L-5765834
CASP3,H2L-5765834
KRAS,H2L-5765834
BTK,H2L-5765834
SLC29A1,H2L-5765834
FFAR4,H2L-5765834
PPARD,H2L-5765834
BAX,H2L-5765834
RGS4,H2L-5765834
CDK7,H2L-5765834
PPAT,H2L-5765834
KCNJ1,H2L-5765834
ATP5F1D,H2L-5765834
PDPK1,H2L-5765834
IGF1R,H2L-5765834
MET,H2L-5765834
GLRA3,H2L-5765834
PIK3CG,H2L-5765834
TBXAS1,H2L-5765834
PLD1,H2L-5765834
DHH,H2L-5765834
AKT1,H2L-5765834
CDK2,H2L-5765834
PARP3,H2L-5765834
PLK1,H2L-5765834
ATM,H2L-5765834
IMPDH1,H2L-5765834
TUBB3,H2L-5765834
BRAF,H2L-5765834
HBB,H2L-5765834
LYN,H2L-5765834
ANXA1,H2L-5765834
CCR1,H2L-5765834
ALK,H2L-5765834
HDAC3,H2L-5765834
PTGIR,H2L-5765834
RPL23A,H2L-5765834
FLT3,H2L-5765834
MME,H2L-5765834
CTSG,H2L-5765834
PAK4,H2L-5765834
GPR119,H2L-5765834
SCNN1G,H2L-5765834
GJB4,H2L-5765834
S1PR4,H2L-5765834
IL1B,H2L-5765834
F10,H2L-5765834
ELANE,H2L-5765834
RPL3,H2L-5765834
ERBB2,H2L-5765834
AKR1B1,H2L-5765834
GUCY1B1,H2L-5765834
ADRA2B,H2L-5765834
HCK,H2L-5765834
P3H1,H2L-5765834
CA5A,H2L-5765834
DCK,H2L-5765834
TNF,H2L-5765834
RNASE1,H2L-5765834
PTGIS,H2L-5765834
PRKCE,H2L-5765834
FPR1,H2L-5765834
FGF1,H2L-5765834
CDK9,H2L-5765834
KDR,H2L-5765834
EDNRB,H2L-5765834
ASIC1,H2L-5765834
JAK1,H2L-5765834
PLA2G1B,H2L-5765834
BRD4,H2L-5765834
TUBB,H2L-5765834
AGER,H2L-5765834
S1PR2,H2L-5765834
PDE4D,H2L-5765834
CHEK2,H2L-5765834
PAK1,H2L-5765834
HDAC6,H2L-5765834
DYRK1B,H2L-5765834
USP1,H2L-5765834
CYP1A2,H2L-5765834
CACNG1,H2L-5765834
HTR2C,H2L-5765834
DNMT3A,H2L-5765834
PORCN,H2L-5765834
GAA,H2L-5765834
PRKCB,H2L-5765834
PTK2B,H2L-5765834
CLK1,H2L-5765834
CACNA2D3,H2L-5765834
HSD11B1,H2L-5765834
HTR3A,H2L-5765834
ADA,H2L-5765834
PDE3A,H2L-5765834
NTRK1,H2L-5765834
LCK,H2L-5765834
KCNH7,H2L-5765834
SIRT2,H2L-5765834
P2RY12,H2L-5765834
HIF1A,arcyriaflavin-a
CATSPER4,arcyriaflavin-a
DDR2,arcyriaflavin-a
OPRL1,arcyriaflavin-a
SLC7A11,arcyriaflavin-a
FFAR2,arcyriaflavin-a
KCNMA1,arcyriaflavin-a
HRH4,arcyriaflavin-a
GHSR,arcyriaflavin-a
ALDH2,arcyriaflavin-a
COMT,arcyriaflavin-a
PTPN2,arcyriaflavin-a
KCNQ2,arcyriaflavin-a
ITGB2,arcyriaflavin-a
S1PR1,arcyriaflavin-a
FOXM1,arcyriaflavin-a
MAPK14,arcyriaflavin-a
SLCO2B1,arcyriaflavin-a
KCNN4,arcyriaflavin-a
GRIN2A,arcyriaflavin-a
CACNB4,arcyriaflavin-a
HSP90AB1,arcyriaflavin-a
CSK,arcyriaflavin-a
AKR1C1,arcyriaflavin-a
CHRM2,arcyriaflavin-a
TGFBR1,arcyriaflavin-a
TGM2,arcyriaflavin-a
CDK4,arcyriaflavin-a
LPAR1,arcyriaflavin-a
CHRM3,arcyriaflavin-a
UGT1A9,arcyriaflavin-a
HPGDS,arcyriaflavin-a
ADORA2A,arcyriaflavin-a
CCND1,arcyriaflavin-a
KCNN1,arcyriaflavin-a
ABL1,arcyriaflavin-a
SSTR2,arcyriaflavin-a
HSP90AA1,arcyriaflavin-a
TUBB4B,arcyriaflavin-a
EZH2,arcyriaflavin-a
PNLIP,arcyriaflavin-a
CYP2A6,arcyriaflavin-a
CSF1R,arcyriaflavin-a
S100B,arcyriaflavin-a
PDE7A,arcyriaflavin-a
AURKB,arcyriaflavin-a
CDC25A,arcyriaflavin-a
KCNK1,arcyriaflavin-a
CA14,arcyriaflavin-a
ICAM1,arcyriaflavin-a
GPR55,arcyriaflavin-a
OPRM1,arcyriaflavin-a
VEGFA,arcyriaflavin-a
ADH1C,arcyriaflavin-a
KCTD16,arcyriaflavin-a
CYP3A4,arcyriaflavin-a
AVPR1A,arcyriaflavin-a
MAPK8,arcyriaflavin-a
TNNC1,arcyriaflavin-a
GABRB2,arcyriaflavin-a
MMP2,arcyriaflavin-a
RET,arcyriaflavin-a
NAMPT,arcyriaflavin-a
CASP3,arcyriaflavin-a
KRAS,arcyriaflavin-a
BTK,arcyriaflavin-a
SLC29A1,arcyriaflavin-a
FFAR4,arcyriaflavin-a
PPARD,arcyriaflavin-a
BAX,arcyriaflavin-a
RGS4,arcyriaflavin-a
CDK7,arcyriaflavin-a
PPAT,arcyriaflavin-a
KCNJ1,arcyriaflavin-a
ATP5F1D,arcyriaflavin-a
PDPK1,arcyriaflavin-a
IGF1R,arcyriaflavin-a
MET,arcyriaflavin-a
GLRA3,arcyriaflavin-a
PIK3CG,arcyriaflavin-a
TBXAS1,arcyriaflavin-a
PLD1,arcyriaflavin-a
DHH,arcyriaflavin-a
AKT1,arcyriaflavin-a
CDK2,arcyriaflavin-a
PARP3,arcyriaflavin-a
PLK1,arcyriaflavin-a
ATM,arcyriaflavin-a
IMPDH1,arcyriaflavin-a
TUBB3,arcyriaflavin-a
BRAF,arcyriaflavin-a
HBB,arcyriaflavin-a
LYN,arcyriaflavin-a
ANXA1,arcyriaflavin-a
CCR1,arcyriaflavin-a
ALK,arcyriaflavin-a
HDAC3,arcyriaflavin-a
PTGIR,arcyriaflavin-a
RPL23A,arcyriaflavin-a
FLT3,arcyriaflavin-a
MME,arcyriaflavin-a
CTSG,arcyriaflavin-a
PAK4,arcyriaflavin-a
GPR119,arcyriaflavin-a
SCNN1G,arcyriaflavin-a
GJB4,arcyriaflavin-a
S1PR4,arcyriaflavin-a
IL1B,arcyriaflavin-a
F10,arcyriaflavin-a
ELANE,arcyriaflavin-a
RPL3,arcyriaflavin-a
ERBB2,arcyriaflavin-a
AKR1B1,arcyriaflavin-a
GUCY1B1,arcyriaflavin-a
ADRA2B,arcyriaflavin-a
HCK,arcyriaflavin-a
P3H1,arcyriaflavin-a
CA5A,arcyriaflavin-a
DCK,arcyriaflavin-a
TNF,arcyriaflavin-a
