gene,compound
LCK,BAN-ORL-24
KCNH7,BAN-ORL-24
SIRT2,BAN-ORL-24
P2RY12,BAN-ORL-24
HIF1A,NNC-55-0396
CATSPER4,NNC-55-0396
SLC7A11,NNC-55-0396
FFAR2,NNC-55-0396
KCNMA1,NNC-55-0396
GHSR,NNC-55-0396
COMT,NNC-55-0396
PTPN2,NNC-55-0396
KCNQ2,NNC-55-0396
ITGB2,NNC-55-0396
S1PR1,NNC-55-0396
FOXM1,NNC-55-0396
MAPK14,NNC-55-0396
GRIN2A,NNC-55-0396
HSP90AB1,NNC-55-0396
CSK,NNC-55-0396
AKR1C1,NNC-55-0396
TGM2,NNC-55-0396
LPAR1,NNC-55-0396
ADORA2A,NNC-55-0396
CCND1,NNC-55-0396
KCNN1,NNC-55-0396
SSTR2,NNC-55-0396
HSP90AA1,NNC-55-0396
TUBB4B,NNC-55-0396
PNLIP,NNC-55-0396
CYP2A6,NNC-55-0396
CSF1R,NNC-55-0396
S100B,NNC-55-0396
PDE7A,NNC-55-0396
AURKB,NNC-55-0396
CDC25A,NNC-55-0396
ICAM1,NNC-55-0396
VEGFA,NNC-55-0396
CYP3A4,NNC-55-0396
AVPR1A,NNC-55-0396
GABRB2,NNC-55-0396
MMP2,NNC-55-0396
RET,NNC-55-0396
KRAS,NNC-55-0396
SLC29A1,NNC-55-0396
CDK7,NNC-55-0396
PPAT,NNC-55-0396
KCNJ1,NNC-55-0396
IGF1R,NNC-55-0396
AKT1,NNC-55-0396
CDK2,NNC-55-0396
PARP3,NNC-55-0396
IMPDH1,NNC-55-0396
TUBB3,NNC-55-0396
BRAF,NNC-55-0396
LYN,NNC-55-0396
ANXA1,NNC-55-0396
CCR1,NNC-55-0396
HDAC3,NNC-55-0396
PTGIR,NNC-55-0396
RPL23A,NNC-55-0396
MME,NNC-55-0396
PAK4,NNC-55-0396
GJB4,NNC-55-0396
S1PR4,NNC-55-0396
IL1B,NNC-55-0396
F10,NNC-55-0396
RPL3,NNC-55-0396
ERBB2,NNC-55-0396
ADRA2B,NNC-55-0396
P3H1,NNC-55-0396
TNF,NNC-55-0396
PRKCE,NNC-55-0396
FPR1,NNC-55-0396
FGF1,NNC-55-0396
CDK9,NNC-55-0396
KDR,NNC-55-0396
JAK1,NNC-55-0396
TUBB,NNC-55-0396
S1PR2,NNC-55-0396
PDE4D,NNC-55-0396
CHEK2,NNC-55-0396
PAK1,NNC-55-0396
USP1,NNC-55-0396
CYP1A2,NNC-55-0396
CACNG1,NNC-55-0396
HTR2C,NNC-55-0396
DNMT3A,NNC-55-0396
PORCN,NNC-55-0396
GAA,NNC-55-0396
PRKCB,NNC-55-0396
PTK2B,NNC-55-0396
CLK1,NNC-55-0396
CACNA2D3,NNC-55-0396
HSD11B1,NNC-55-0396
PDE3A,NNC-55-0396
LCK,NNC-55-0396
KCNH7,NNC-55-0396
SIRT2,NNC-55-0396
P2RY12,NNC-55-0396
HIF1A,WH-4-023
CATSPER4,WH-4-023
SLC7A11,WH-4-023
FFAR2,WH-4-023
KCNMA1,WH-4-023
GHSR,WH-4-023
COMT,WH-4-023
PTPN2,WH-4-023
KCNQ2,WH-4-023
ITGB2,WH-4-023
S1PR1,WH-4-023
FOXM1,WH-4-023
MAPK14,WH-4-023
GRIN2A,WH-4-023
HSP90AB1,WH-4-023
CSK,WH-4-023
AKR1C1,WH-4-023
TGM2,WH-4-023
LPAR1,WH-4-023
ADORA2A,WH-4-023
CCND1,WH-4-023
KCNN1,WH-4-023
SSTR2,WH-4-023
HSP90AA1,WH-4-023
TUBB4B,WH-4-023
PNLIP,WH-4-023
CYP2A6,WH-4-023
CSF1R,WH-4-023
S100B,WH-4-023
PDE7A,WH-4-023
AURKB,WH-4-023
CDC25A,WH-4-023
ICAM1,WH-4-023
VEGFA,WH-4-023
CYP3A4,WH-4-023
AVPR1A,WH-4-023
GABRB2,WH-4-023
MMP2,WH-4-023
RET,WH-4-023
KRAS,WH-4-023
SLC29A1,WH-4-023
CDK7,WH-4-023
PPAT,WH-4-023
KCNJ1,WH-4-023
IGF1R,WH-4-023
AKT1,WH-4-023
CDK2,WH-4-023
PARP3,WH-4-023
IMPDH1,WH-4-023
TUBB3,WH-4-023
BRAF,WH-4-023
LYN,WH-4-023
ANXA1,WH-4-023
CCR1,WH-4-023
HDAC3,WH-4-023
PTGIR,WH-4-023
RPL23A,WH-4-023
MME,WH-4-023
PAK4,WH-4-023
GJB4,WH-4-023
S1PR4,WH-4-023
IL1B,WH-4-023
F10,WH-4-023
RPL3,WH-4-023
ERBB2,WH-4-023
ADRA2B,WH-4-023
P3H1,WH-4-023
TNF,WH-4-023
PRKCE,WH-4-023
FPR1,WH-4-023
FGF1,WH-4-023
CDK9,WH-4-023
KDR,WH-4-023
JAK1,WH-4-023
TUBB,WH-4-023
S1PR2,WH-4-023
PDE4D,WH-4-023
CHEK2,WH-4-023
PAK1,WH-4-023
USP1,WH-4-023
CYP1A2,WH-4-023
CACNG1,WH-4-023
HTR2C,WH-4-023
DNMT3A,WH-4-023
PORCN,WH-4-023
GAA,WH-4-023
PRKCB,WH-4-023
PTK2B,WH-4-023
CLK1,WH-4-023
CACNA2D3,WH-4-023
HSD11B1,WH-4-023
PDE3A,WH-4-023
LCK,WH-4-023
KCNH7,WH-4-023
SIRT2,WH-4-023
P2RY12,WH-4-023
HIF1A,flupirtine
CATSPER4,flupirtine
SLC7A11,flupirtine
FFAR2,flupirtine
KCNMA1,flupirtine
GHSR,flupirtine
COMT,flupirtine
PTPN2,flupirtine
KCNQ2,flupirtine
ITGB2,flupirtine
S1PR1,flupirtine
FOXM1,flupirtine
MAPK14,flupirtine
GRIN2A,flupirtine
HSP90AB1,flupirtine
CSK,flupirtine
AKR1C1,flupirtine
TGM2,flupirtine
LPAR1,flupirtine
ADORA2A,flupirtine
CCND1,flupirtine
KCNN1,flupirtine
SSTR2,flupirtine
HSP90AA1,flupirtine
TUBB4B,flupirtine
PNLIP,flupirtine
CYP2A6,flupirtine
CSF1R,flupirtine
S100B,flupirtine
PDE7A,flupirtine
AURKB,flupirtine
CDC25A,flupirtine
ICAM1,flupirtine
VEGFA,flupirtine
CYP3A4,flupirtine
AVPR1A,flupirtine
GABRB2,flupirtine
MMP2,flupirtine
RET,flupirtine
KRAS,flupirtine
SLC29A1,flupirtine
CDK7,flupirtine
PPAT,flupirtine
KCNJ1,flupirtine
IGF1R,flupirtine
AKT1,flupirtine
CDK2,flupirtine
PARP3,flupirtine
IMPDH1,flupirtine
TUBB3,flupirtine
BRAF,flupirtine
LYN,flupirtine
ANXA1,flupirtine
CCR1,flupirtine
HDAC3,flupirtine
PTGIR,flupirtine
RPL23A,flupirtine
MME,flupirtine
PAK4,flupirtine
GJB4,flupirtine
S1PR4,flupirtine
IL1B,flupirtine
F10,flupirtine
RPL3,flupirtine
ERBB2,flupirtine
ADRA2B,flupirtine
P3H1,flupirtine
TNF,flupirtine
PRKCE,flupirtine
FPR1,flupirtine
FGF1,flupirtine
CDK9,flupirtine
KDR,flupirtine
JAK1,flupirtine
TUBB,flupirtine
S1PR2,flupirtine
PDE4D,flupirtine
CHEK2,flupirtine
PAK1,flupirtine
USP1,flupirtine
CYP1A2,flupirtine
CACNG1,flupirtine
HTR2C,flupirtine
DNMT3A,flupirtine
PORCN,flupirtine
GAA,flupirtine
PRKCB,flupirtine
PTK2B,flupirtine
CLK1,flupirtine
CACNA2D3,flupirtine
HSD11B1,flupirtine
PDE3A,flupirtine
LCK,flupirtine
KCNH7,flupirtine
SIRT2,flupirtine
P2RY12,flupirtine
HIF1A,ZK811752
CATSPER4,ZK811752
SLC7A11,ZK811752
FFAR2,ZK811752
KCNMA1,ZK811752
GHSR,ZK811752
COMT,ZK811752
PTPN2,ZK811752
KCNQ2,ZK811752
ITGB2,ZK811752
S1PR1,ZK811752
FOXM1,ZK811752
MAPK14,ZK811752
GRIN2A,ZK811752
HSP90AB1,ZK811752
CSK,ZK811752
AKR1C1,ZK811752
TGM2,ZK811752
LPAR1,ZK811752
ADORA2A,ZK811752
CCND1,ZK811752
KCNN1,ZK811752
SSTR2,ZK811752
HSP90AA1,ZK811752
TUBB4B,ZK811752
PNLIP,ZK811752
CYP2A6,ZK811752
CSF1R,ZK811752
S100B,ZK811752
PDE7A,ZK811752
AURKB,ZK811752
CDC25A,ZK811752
ICAM1,ZK811752
VEGFA,ZK811752
CYP3A4,ZK811752
AVPR1A,ZK811752
GABRB2,ZK811752
MMP2,ZK811752
RET,ZK811752
KRAS,ZK811752
SLC29A1,ZK811752
CDK7,ZK811752
PPAT,ZK811752
KCNJ1,ZK811752
IGF1R,ZK811752
AKT1,ZK811752
CDK2,ZK811752
PARP3,ZK811752
IMPDH1,ZK811752
TUBB3,ZK811752
BRAF,ZK811752
LYN,ZK811752
ANXA1,ZK811752
CCR1,ZK811752
HDAC3,ZK811752
PTGIR,ZK811752
RPL23A,ZK811752
MME,ZK811752
PAK4,ZK811752
GJB4,ZK811752
S1PR4,ZK811752
IL1B,ZK811752
F10,ZK811752
RPL3,ZK811752
ERBB2,ZK811752
ADRA2B,ZK811752
P3H1,ZK811752
TNF,ZK811752
PRKCE,ZK811752
FPR1,ZK811752
FGF1,ZK811752
CDK9,ZK811752
KDR,ZK811752
JAK1,ZK811752
TUBB,ZK811752
S1PR2,ZK811752
PDE4D,ZK811752
CHEK2,ZK811752
PAK1,ZK811752
USP1,ZK811752
CYP1A2,ZK811752
CACNG1,ZK811752
HTR2C,ZK811752
DNMT3A,ZK811752
PORCN,ZK811752
GAA,ZK811752
PRKCB,ZK811752
PTK2B,ZK811752
CLK1,ZK811752
CACNA2D3,ZK811752
HSD11B1,ZK811752
PDE3A,ZK811752
LCK,ZK811752
KCNH7,ZK811752
SIRT2,ZK811752
P2RY12,ZK811752
HIF1A,dexamethasone
CATSPER4,dexamethasone
SLC7A11,dexamethasone
FFAR2,dexamethasone
KCNMA1,dexamethasone
GHSR,dexamethasone
COMT,dexamethasone
PTPN2,dexamethasone
KCNQ2,dexamethasone
ITGB2,dexamethasone
S1PR1,dexamethasone
FOXM1,dexamethasone
MAPK14,dexamethasone
GRIN2A,dexamethasone
HSP90AB1,dexamethasone
CSK,dexamethasone
AKR1C1,dexamethasone
TGM2,dexamethasone
LPAR1,dexamethasone
ADORA2A,dexamethasone
CCND1,dexamethasone
KCNN1,dexamethasone
SSTR2,dexamethasone
HSP90AA1,dexamethasone
TUBB4B,dexamethasone
PNLIP,dexamethasone
CYP2A6,dexamethasone
CSF1R,dexamethasone
S100B,dexamethasone
PDE7A,dexamethasone
AURKB,dexamethasone
CDC25A,dexamethasone
ICAM1,dexamethasone
VEGFA,dexamethasone
CYP3A4,dexamethasone
AVPR1A,dexamethasone
GABRB2,dexamethasone
MMP2,dexamethasone
RET,dexamethasone
KRAS,dexamethasone
SLC29A1,dexamethasone
CDK7,dexamethasone
PPAT,dexamethasone
KCNJ1,dexamethasone
IGF1R,dexamethasone
AKT1,dexamethasone
CDK2,dexamethasone
PARP3,dexamethasone
IMPDH1,dexamethasone
TUBB3,dexamethasone
BRAF,dexamethasone
LYN,dexamethasone
ANXA1,dexamethasone
CCR1,dexamethasone
HDAC3,dexamethasone
PTGIR,dexamethasone
RPL23A,dexamethasone
MME,dexamethasone
PAK4,dexamethasone
GJB4,dexamethasone
S1PR4,dexamethasone
IL1B,dexamethasone
F10,dexamethasone
RPL3,dexamethasone
ERBB2,dexamethasone
ADRA2B,dexamethasone
P3H1,dexamethasone
TNF,dexamethasone
PRKCE,dexamethasone
FPR1,dexamethasone
FGF1,dexamethasone
CDK9,dexamethasone
KDR,dexamethasone
JAK1,dexamethasone
TUBB,dexamethasone
S1PR2,dexamethasone
PDE4D,dexamethasone
CHEK2,dexamethasone
PAK1,dexamethasone
USP1,dexamethasone
CYP1A2,dexamethasone
CACNG1,dexamethasone
HTR2C,dexamethasone
DNMT3A,dexamethasone
PORCN,dexamethasone
GAA,dexamethasone
PRKCB,dexamethasone
PTK2B,dexamethasone
CLK1,dexamethasone
CACNA2D3,dexamethasone
HSD11B1,dexamethasone
PDE3A,dexamethasone
LCK,dexamethasone
KCNH7,dexamethasone
SIRT2,dexamethasone
P2RY12,dexamethasone
HIF1A,PP-1
CATSPER4,PP-1
SLC7A11,PP-1
FFAR2,PP-1
KCNMA1,PP-1
GHSR,PP-1
COMT,PP-1
PTPN2,PP-1
KCNQ2,PP-1
ITGB2,PP-1
S1PR1,PP-1
FOXM1,PP-1
MAPK14,PP-1
GRIN2A,PP-1
HSP90AB1,PP-1
CSK,PP-1
AKR1C1,PP-1
TGM2,PP-1
LPAR1,PP-1
ADORA2A,PP-1
CCND1,PP-1
KCNN1,PP-1
SSTR2,PP-1
HSP90AA1,PP-1
TUBB4B,PP-1
PNLIP,PP-1
CYP2A6,PP-1
CSF1R,PP-1
S100B,PP-1
PDE7A,PP-1
AURKB,PP-1
CDC25A,PP-1
ICAM1,PP-1
VEGFA,PP-1
CYP3A4,PP-1
AVPR1A,PP-1
GABRB2,PP-1
MMP2,PP-1
RET,PP-1
KRAS,PP-1
SLC29A1,PP-1
CDK7,PP-1
PPAT,PP-1
KCNJ1,PP-1
IGF1R,PP-1
AKT1,PP-1
CDK2,PP-1
PARP3,PP-1
IMPDH1,PP-1
TUBB3,PP-1
BRAF,PP-1
LYN,PP-1
ANXA1,PP-1
CCR1,PP-1
HDAC3,PP-1
PTGIR,PP-1
RPL23A,PP-1
MME,PP-1
PAK4,PP-1
GJB4,PP-1
S1PR4,PP-1
IL1B,PP-1
F10,PP-1
RPL3,PP-1
ERBB2,PP-1
ADRA2B,PP-1
P3H1,PP-1
TNF,PP-1
PRKCE,PP-1
FPR1,PP-1
FGF1,PP-1
CDK9,PP-1
KDR,PP-1
JAK1,PP-1
TUBB,PP-1
S1PR2,PP-1
PDE4D,PP-1
CHEK2,PP-1
PAK1,PP-1
USP1,PP-1
CYP1A2,PP-1
CACNG1,PP-1
HTR2C,PP-1
DNMT3A,PP-1
PORCN,PP-1
GAA,PP-1
PRKCB,PP-1
PTK2B,PP-1
CLK1,PP-1
CACNA2D3,PP-1
HSD11B1,PP-1
PDE3A,PP-1
LCK,PP-1
KCNH7,PP-1
SIRT2,PP-1
P2RY12,PP-1
HIF1A,DDR1-IN-1
CATSPER4,DDR1-IN-1
SLC7A11,DDR1-IN-1
FFAR2,DDR1-IN-1
KCNMA1,DDR1-IN-1
GHSR,DDR1-IN-1
COMT,DDR1-IN-1
PTPN2,DDR1-IN-1
KCNQ2,DDR1-IN-1
ITGB2,DDR1-IN-1
S1PR1,DDR1-IN-1
FOXM1,DDR1-IN-1
MAPK14,DDR1-IN-1
GRIN2A,DDR1-IN-1
HSP90AB1,DDR1-IN-1
CSK,DDR1-IN-1
AKR1C1,DDR1-IN-1
TGM2,DDR1-IN-1
LPAR1,DDR1-IN-1
ADORA2A,DDR1-IN-1
CCND1,DDR1-IN-1
KCNN1,DDR1-IN-1
SSTR2,DDR1-IN-1
HSP90AA1,DDR1-IN-1
TUBB4B,DDR1-IN-1
PNLIP,DDR1-IN-1
CYP2A6,DDR1-IN-1
CSF1R,DDR1-IN-1
S100B,DDR1-IN-1
PDE7A,DDR1-IN-1
AURKB,DDR1-IN-1
CDC25A,DDR1-IN-1
ICAM1,DDR1-IN-1
VEGFA,DDR1-IN-1
CYP3A4,DDR1-IN-1
AVPR1A,DDR1-IN-1
GABRB2,DDR1-IN-1
MMP2,DDR1-IN-1
RET,DDR1-IN-1
KRAS,DDR1-IN-1
SLC29A1,DDR1-IN-1
CDK7,DDR1-IN-1
PPAT,DDR1-IN-1
KCNJ1,DDR1-IN-1
IGF1R,DDR1-IN-1
AKT1,DDR1-IN-1
CDK2,DDR1-IN-1
PARP3,DDR1-IN-1
IMPDH1,DDR1-IN-1
TUBB3,DDR1-IN-1
BRAF,DDR1-IN-1
LYN,DDR1-IN-1
ANXA1,DDR1-IN-1
CCR1,DDR1-IN-1
HDAC3,DDR1-IN-1
PTGIR,DDR1-IN-1
RPL23A,DDR1-IN-1
MME,DDR1-IN-1
PAK4,DDR1-IN-1
GJB4,DDR1-IN-1
S1PR4,DDR1-IN-1
IL1B,DDR1-IN-1
F10,DDR1-IN-1
RPL3,DDR1-IN-1
ERBB2,DDR1-IN-1
ADRA2B,DDR1-IN-1
P3H1,DDR1-IN-1
TNF,DDR1-IN-1
PRKCE,DDR1-IN-1
FPR1,DDR1-IN-1
FGF1,DDR1-IN-1
CDK9,DDR1-IN-1
KDR,DDR1-IN-1
JAK1,DDR1-IN-1
TUBB,DDR1-IN-1
S1PR2,DDR1-IN-1
PDE4D,DDR1-IN-1
CHEK2,DDR1-IN-1
PAK1,DDR1-IN-1
USP1,DDR1-IN-1
CYP1A2,DDR1-IN-1
CACNG1,DDR1-IN-1
HTR2C,DDR1-IN-1
DNMT3A,DDR1-IN-1
PORCN,DDR1-IN-1
GAA,DDR1-IN-1
PRKCB,DDR1-IN-1
PTK2B,DDR1-IN-1
CLK1,DDR1-IN-1
CACNA2D3,DDR1-IN-1
HSD11B1,DDR1-IN-1
PDE3A,DDR1-IN-1
LCK,DDR1-IN-1
KCNH7,DDR1-IN-1
SIRT2,DDR1-IN-1
P2RY12,DDR1-IN-1
HIF1A,AVL-292
CATSPER4,AVL-292
SLC7A11,AVL-292
FFAR2,AVL-292
KCNMA1,AVL-292
GHSR,AVL-292
COMT,AVL-292
PTPN2,AVL-292
KCNQ2,AVL-292
ITGB2,AVL-292
S1PR1,AVL-292
FOXM1,AVL-292
MAPK14,AVL-292
GRIN2A,AVL-292
HSP90AB1,AVL-292
CSK,AVL-292
AKR1C1,AVL-292
TGM2,AVL-292
LPAR1,AVL-292
ADORA2A,AVL-292
CCND1,AVL-292
KCNN1,AVL-292
SSTR2,AVL-292
HSP90AA1,AVL-292
TUBB4B,AVL-292
PNLIP,AVL-292
CYP2A6,AVL-292
CSF1R,AVL-292
S100B,AVL-292
PDE7A,AVL-292
AURKB,AVL-292
CDC25A,AVL-292
ICAM1,AVL-292
VEGFA,AVL-292
CYP3A4,AVL-292
AVPR1A,AVL-292
GABRB2,AVL-292
MMP2,AVL-292
RET,AVL-292
KRAS,AVL-292
SLC29A1,AVL-292
CDK7,AVL-292
PPAT,AVL-292
KCNJ1,AVL-292
IGF1R,AVL-292
AKT1,AVL-292
CDK2,AVL-292
PARP3,AVL-292
IMPDH1,AVL-292
TUBB3,AVL-292
BRAF,AVL-292
LYN,AVL-292
ANXA1,AVL-292
CCR1,AVL-292
HDAC3,AVL-292
PTGIR,AVL-292
RPL23A,AVL-292
MME,AVL-292
PAK4,AVL-292
GJB4,AVL-292
S1PR4,AVL-292
IL1B,AVL-292
F10,AVL-292
RPL3,AVL-292
ERBB2,AVL-292
ADRA2B,AVL-292
P3H1,AVL-292
TNF,AVL-292
PRKCE,AVL-292
FPR1,AVL-292
FGF1,AVL-292
CDK9,AVL-292
KDR,AVL-292
JAK1,AVL-292
TUBB,AVL-292
S1PR2,AVL-292
PDE4D,AVL-292
CHEK2,AVL-292
PAK1,AVL-292
USP1,AVL-292
CYP1A2,AVL-292
CACNG1,AVL-292
HTR2C,AVL-292
DNMT3A,AVL-292
PORCN,AVL-292
GAA,AVL-292
PRKCB,AVL-292
PTK2B,AVL-292
CLK1,AVL-292
CACNA2D3,AVL-292
HSD11B1,AVL-292
PDE3A,AVL-292
LCK,AVL-292
KCNH7,AVL-292
SIRT2,AVL-292
P2RY12,AVL-292
HIF1A,H2L-5765834
CATSPER4,H2L-5765834
SLC7A11,H2L-5765834
FFAR2,H2L-5765834
KCNMA1,H2L-5765834
GHSR,H2L-5765834
COMT,H2L-5765834
PTPN2,H2L-5765834
KCNQ2,H2L-5765834
ITGB2,H2L-5765834
S1PR1,H2L-5765834
FOXM1,H2L-5765834
MAPK14,H2L-5765834
GRIN2A,H2L-5765834
HSP90AB1,H2L-5765834
CSK,H2L-5765834
AKR1C1,H2L-5765834
TGM2,H2L-5765834
LPAR1,H2L-5765834
ADORA2A,H2L-5765834
CCND1,H2L-5765834
KCNN1,H2L-5765834
SSTR2,H2L-5765834
HSP90AA1,H2L-5765834
TUBB4B,H2L-5765834
PNLIP,H2L-5765834
CYP2A6,H2L-5765834
CSF1R,H2L-5765834
S100B,H2L-5765834
PDE7A,H2L-5765834
AURKB,H2L-5765834
CDC25A,H2L-5765834
ICAM1,H2L-5765834
VEGFA,H2L-5765834
CYP3A4,H2L-5765834
AVPR1A,H2L-5765834
GABRB2,H2L-5765834
MMP2,H2L-5765834
RET,H2L-5765834
KRAS,H2L-5765834
SLC29A1,H2L-5765834
CDK7,H2L-5765834
PPAT,H2L-5765834
KCNJ1,H2L-5765834
IGF1R,H2L-5765834
AKT1,H2L-5765834
CDK2,H2L-5765834
PARP3,H2L-5765834
IMPDH1,H2L-5765834
TUBB3,H2L-5765834
BRAF,H2L-5765834
LYN,H2L-5765834
ANXA1,H2L-5765834
CCR1,H2L-5765834
HDAC3,H2L-5765834
PTGIR,H2L-5765834
RPL23A,H2L-5765834
MME,H2L-5765834
PAK4,H2L-5765834
GJB4,H2L-5765834
S1PR4,H2L-5765834
IL1B,H2L-5765834
F10,H2L-5765834
RPL3,H2L-5765834
ERBB2,H2L-5765834
ADRA2B,H2L-5765834
P3H1,H2L-5765834
TNF,H2L-5765834
PRKCE,H2L-5765834
FPR1,H2L-5765834
FGF1,H2L-5765834
CDK9,H2L-5765834
KDR,H2L-5765834
JAK1,H2L-5765834
TUBB,H2L-5765834
S1PR2,H2L-5765834
PDE4D,H2L-5765834
CHEK2,H2L-5765834
PAK1,H2L-5765834
USP1,H2L-5765834
CYP1A2,H2L-5765834
CACNG1,H2L-5765834
HTR2C,H2L-5765834
DNMT3A,H2L-5765834
PORCN,H2L-5765834
GAA,H2L-5765834
PRKCB,H2L-5765834
PTK2B,H2L-5765834
CLK1,H2L-5765834
CACNA2D3,H2L-5765834
HSD11B1,H2L-5765834
PDE3A,H2L-5765834
LCK,H2L-5765834
KCNH7,H2L-5765834
SIRT2,H2L-5765834
P2RY12,H2L-5765834
HIF1A,thiostrepton
CATSPER4,thiostrepton
SLC7A11,thiostrepton
FFAR2,thiostrepton
KCNMA1,thiostrepton
GHSR,thiostrepton
COMT,thiostrepton
PTPN2,thiostrepton
KCNQ2,thiostrepton
ITGB2,thiostrepton
S1PR1,thiostrepton
FOXM1,thiostrepton
MAPK14,thiostrepton
GRIN2A,thiostrepton
