gene,compound
S100B,NNC-55-0396
PDE7A,NNC-55-0396
AURKB,NNC-55-0396
CDC25A,NNC-55-0396
KCNK1,NNC-55-0396
CA14,NNC-55-0396
ICAM1,NNC-55-0396
GPR55,NNC-55-0396
OPRM1,NNC-55-0396
VEGFA,NNC-55-0396
ADH1C,NNC-55-0396
KCTD16,NNC-55-0396
CYP3A4,NNC-55-0396
AVPR1A,NNC-55-0396
MAPK8,NNC-55-0396
TNNC1,NNC-55-0396
GABRB2,NNC-55-0396
MMP2,NNC-55-0396
RET,NNC-55-0396
NAMPT,NNC-55-0396
CASP3,NNC-55-0396
KRAS,NNC-55-0396
BTK,NNC-55-0396
SLC29A1,NNC-55-0396
FFAR4,NNC-55-0396
PPARD,NNC-55-0396
BAX,NNC-55-0396
RGS4,NNC-55-0396
CDK7,NNC-55-0396
PPAT,NNC-55-0396
KCNJ1,NNC-55-0396
ATP5F1D,NNC-55-0396
PDPK1,NNC-55-0396
IGF1R,NNC-55-0396
MET,NNC-55-0396
GLRA3,NNC-55-0396
PIK3CG,NNC-55-0396
TBXAS1,NNC-55-0396
PLD1,NNC-55-0396
DHH,NNC-55-0396
AKT1,NNC-55-0396
CDK2,NNC-55-0396
PARP3,NNC-55-0396
PLK1,NNC-55-0396
ATM,NNC-55-0396
IMPDH1,NNC-55-0396
TUBB3,NNC-55-0396
BRAF,NNC-55-0396
HBB,NNC-55-0396
LYN,NNC-55-0396
ANXA1,NNC-55-0396
CCR1,NNC-55-0396
ALK,NNC-55-0396
HDAC3,NNC-55-0396
PTGIR,NNC-55-0396
RPL23A,NNC-55-0396
FLT3,NNC-55-0396
MME,NNC-55-0396
CTSG,NNC-55-0396
PAK4,NNC-55-0396
GPR119,NNC-55-0396
SCNN1G,NNC-55-0396
GJB4,NNC-55-0396
S1PR4,NNC-55-0396
IL1B,NNC-55-0396
F10,NNC-55-0396
ELANE,NNC-55-0396
RPL3,NNC-55-0396
ERBB2,NNC-55-0396
AKR1B1,NNC-55-0396
GUCY1B1,NNC-55-0396
ADRA2B,NNC-55-0396
HCK,NNC-55-0396
P3H1,NNC-55-0396
CA5A,NNC-55-0396
DCK,NNC-55-0396
TNF,NNC-55-0396
RNASE1,NNC-55-0396
PTGIS,NNC-55-0396
PRKCE,NNC-55-0396
FPR1,NNC-55-0396
FGF1,NNC-55-0396
CDK9,NNC-55-0396
KDR,NNC-55-0396
EDNRB,NNC-55-0396
ASIC1,NNC-55-0396
JAK1,NNC-55-0396
PLA2G1B,NNC-55-0396
BRD4,NNC-55-0396
TUBB,NNC-55-0396
AGER,NNC-55-0396
S1PR2,NNC-55-0396
PDE4D,NNC-55-0396
CHEK2,NNC-55-0396
PAK1,NNC-55-0396
HDAC6,NNC-55-0396
DYRK1B,NNC-55-0396
USP1,NNC-55-0396
CYP1A2,NNC-55-0396
CACNG1,NNC-55-0396
HTR2C,NNC-55-0396
DNMT3A,NNC-55-0396
PORCN,NNC-55-0396
GAA,NNC-55-0396
PRKCB,NNC-55-0396
PTK2B,NNC-55-0396
CLK1,NNC-55-0396
CACNA2D3,NNC-55-0396
HSD11B1,NNC-55-0396
HTR3A,NNC-55-0396
ADA,NNC-55-0396
PDE3A,NNC-55-0396
NTRK1,NNC-55-0396
LCK,NNC-55-0396
KCNH7,NNC-55-0396
SIRT2,NNC-55-0396
P2RY12,NNC-55-0396
HIF1A,flupirtine
CATSPER4,flupirtine
DDR2,flupirtine
OPRL1,flupirtine
SLC7A11,flupirtine
FFAR2,flupirtine
KCNMA1,flupirtine
HRH4,flupirtine
GHSR,flupirtine
ALDH2,flupirtine
COMT,flupirtine
PTPN2,flupirtine
KCNQ2,flupirtine
ITGB2,flupirtine
S1PR1,flupirtine
FOXM1,flupirtine
MAPK14,flupirtine
SLCO2B1,flupirtine
KCNN4,flupirtine
GRIN2A,flupirtine
CACNB4,flupirtine
HSP90AB1,flupirtine
CSK,flupirtine
AKR1C1,flupirtine
CHRM2,flupirtine
TGFBR1,flupirtine
TGM2,flupirtine
CDK4,flupirtine
LPAR1,flupirtine
CHRM3,flupirtine
UGT1A9,flupirtine
HPGDS,flupirtine
ADORA2A,flupirtine
CCND1,flupirtine
KCNN1,flupirtine
ABL1,flupirtine
SSTR2,flupirtine
HSP90AA1,flupirtine
TUBB4B,flupirtine
EZH2,flupirtine
PNLIP,flupirtine
CYP2A6,flupirtine
CSF1R,flupirtine
S100B,flupirtine
PDE7A,flupirtine
AURKB,flupirtine
CDC25A,flupirtine
KCNK1,flupirtine
CA14,flupirtine
ICAM1,flupirtine
GPR55,flupirtine
OPRM1,flupirtine
VEGFA,flupirtine
ADH1C,flupirtine
KCTD16,flupirtine
CYP3A4,flupirtine
AVPR1A,flupirtine
MAPK8,flupirtine
TNNC1,flupirtine
GABRB2,flupirtine
MMP2,flupirtine
RET,flupirtine
NAMPT,flupirtine
CASP3,flupirtine
KRAS,flupirtine
BTK,flupirtine
SLC29A1,flupirtine
FFAR4,flupirtine
PPARD,flupirtine
BAX,flupirtine
RGS4,flupirtine
CDK7,flupirtine
PPAT,flupirtine
KCNJ1,flupirtine
ATP5F1D,flupirtine
PDPK1,flupirtine
IGF1R,flupirtine
MET,flupirtine
GLRA3,flupirtine
PIK3CG,flupirtine
TBXAS1,flupirtine
PLD1,flupirtine
DHH,flupirtine
AKT1,flupirtine
CDK2,flupirtine
PARP3,flupirtine
PLK1,flupirtine
ATM,flupirtine
IMPDH1,flupirtine
TUBB3,flupirtine
BRAF,flupirtine
HBB,flupirtine
LYN,flupirtine
ANXA1,flupirtine
CCR1,flupirtine
ALK,flupirtine
HDAC3,flupirtine
PTGIR,flupirtine
RPL23A,flupirtine
FLT3,flupirtine
MME,flupirtine
CTSG,flupirtine
PAK4,flupirtine
GPR119,flupirtine
SCNN1G,flupirtine
GJB4,flupirtine
S1PR4,flupirtine
IL1B,flupirtine
F10,flupirtine
ELANE,flupirtine
RPL3,flupirtine
ERBB2,flupirtine
AKR1B1,flupirtine
GUCY1B1,flupirtine
ADRA2B,flupirtine
HCK,flupirtine
P3H1,flupirtine
CA5A,flupirtine
DCK,flupirtine
TNF,flupirtine
RNASE1,flupirtine
PTGIS,flupirtine
PRKCE,flupirtine
FPR1,flupirtine
FGF1,flupirtine
CDK9,flupirtine
KDR,flupirtine
EDNRB,flupirtine
ASIC1,flupirtine
JAK1,flupirtine
PLA2G1B,flupirtine
BRD4,flupirtine
TUBB,flupirtine
AGER,flupirtine
S1PR2,flupirtine
PDE4D,flupirtine
CHEK2,flupirtine
PAK1,flupirtine
HDAC6,flupirtine
DYRK1B,flupirtine
USP1,flupirtine
CYP1A2,flupirtine
CACNG1,flupirtine
HTR2C,flupirtine
DNMT3A,flupirtine
PORCN,flupirtine
GAA,flupirtine
PRKCB,flupirtine
PTK2B,flupirtine
CLK1,flupirtine
CACNA2D3,flupirtine
HSD11B1,flupirtine
HTR3A,flupirtine
ADA,flupirtine
PDE3A,flupirtine
NTRK1,flupirtine
LCK,flupirtine
KCNH7,flupirtine
SIRT2,flupirtine
P2RY12,flupirtine
HIF1A,dexamethasone
CATSPER4,dexamethasone
DDR2,dexamethasone
OPRL1,dexamethasone
SLC7A11,dexamethasone
FFAR2,dexamethasone
KCNMA1,dexamethasone
HRH4,dexamethasone
GHSR,dexamethasone
ALDH2,dexamethasone
COMT,dexamethasone
PTPN2,dexamethasone
KCNQ2,dexamethasone
ITGB2,dexamethasone
S1PR1,dexamethasone
FOXM1,dexamethasone
MAPK14,dexamethasone
SLCO2B1,dexamethasone
KCNN4,dexamethasone
GRIN2A,dexamethasone
CACNB4,dexamethasone
HSP90AB1,dexamethasone
CSK,dexamethasone
AKR1C1,dexamethasone
CHRM2,dexamethasone
TGFBR1,dexamethasone
TGM2,dexamethasone
CDK4,dexamethasone
LPAR1,dexamethasone
CHRM3,dexamethasone
UGT1A9,dexamethasone
HPGDS,dexamethasone
ADORA2A,dexamethasone
CCND1,dexamethasone
KCNN1,dexamethasone
ABL1,dexamethasone
SSTR2,dexamethasone
HSP90AA1,dexamethasone
TUBB4B,dexamethasone
EZH2,dexamethasone
PNLIP,dexamethasone
CYP2A6,dexamethasone
CSF1R,dexamethasone
S100B,dexamethasone
PDE7A,dexamethasone
AURKB,dexamethasone
CDC25A,dexamethasone
KCNK1,dexamethasone
CA14,dexamethasone
ICAM1,dexamethasone
GPR55,dexamethasone
OPRM1,dexamethasone
VEGFA,dexamethasone
ADH1C,dexamethasone
KCTD16,dexamethasone
CYP3A4,dexamethasone
AVPR1A,dexamethasone
MAPK8,dexamethasone
TNNC1,dexamethasone
GABRB2,dexamethasone
MMP2,dexamethasone
RET,dexamethasone
NAMPT,dexamethasone
CASP3,dexamethasone
KRAS,dexamethasone
BTK,dexamethasone
SLC29A1,dexamethasone
FFAR4,dexamethasone
PPARD,dexamethasone
BAX,dexamethasone
RGS4,dexamethasone
CDK7,dexamethasone
PPAT,dexamethasone
KCNJ1,dexamethasone
ATP5F1D,dexamethasone
PDPK1,dexamethasone
IGF1R,dexamethasone
MET,dexamethasone
GLRA3,dexamethasone
PIK3CG,dexamethasone
TBXAS1,dexamethasone
PLD1,dexamethasone
DHH,dexamethasone
AKT1,dexamethasone
CDK2,dexamethasone
PARP3,dexamethasone
PLK1,dexamethasone
ATM,dexamethasone
IMPDH1,dexamethasone
TUBB3,dexamethasone
BRAF,dexamethasone
HBB,dexamethasone
LYN,dexamethasone
ANXA1,dexamethasone
CCR1,dexamethasone
ALK,dexamethasone
HDAC3,dexamethasone
PTGIR,dexamethasone
RPL23A,dexamethasone
FLT3,dexamethasone
MME,dexamethasone
CTSG,dexamethasone
PAK4,dexamethasone
GPR119,dexamethasone
SCNN1G,dexamethasone
GJB4,dexamethasone
S1PR4,dexamethasone
IL1B,dexamethasone
F10,dexamethasone
ELANE,dexamethasone
RPL3,dexamethasone
ERBB2,dexamethasone
AKR1B1,dexamethasone
GUCY1B1,dexamethasone
ADRA2B,dexamethasone
HCK,dexamethasone
P3H1,dexamethasone
CA5A,dexamethasone
DCK,dexamethasone
TNF,dexamethasone
RNASE1,dexamethasone
PTGIS,dexamethasone
PRKCE,dexamethasone
FPR1,dexamethasone
FGF1,dexamethasone
CDK9,dexamethasone
KDR,dexamethasone
EDNRB,dexamethasone
ASIC1,dexamethasone
JAK1,dexamethasone
PLA2G1B,dexamethasone
BRD4,dexamethasone
TUBB,dexamethasone
AGER,dexamethasone
S1PR2,dexamethasone
PDE4D,dexamethasone
CHEK2,dexamethasone
PAK1,dexamethasone
HDAC6,dexamethasone
DYRK1B,dexamethasone
USP1,dexamethasone
CYP1A2,dexamethasone
CACNG1,dexamethasone
HTR2C,dexamethasone
DNMT3A,dexamethasone
PORCN,dexamethasone
GAA,dexamethasone
PRKCB,dexamethasone
PTK2B,dexamethasone
CLK1,dexamethasone
CACNA2D3,dexamethasone
HSD11B1,dexamethasone
HTR3A,dexamethasone
ADA,dexamethasone
PDE3A,dexamethasone
NTRK1,dexamethasone
LCK,dexamethasone
KCNH7,dexamethasone
SIRT2,dexamethasone
P2RY12,dexamethasone
HIF1A,AVL-292
CATSPER4,AVL-292
DDR2,AVL-292
OPRL1,AVL-292
SLC7A11,AVL-292
FFAR2,AVL-292
KCNMA1,AVL-292
HRH4,AVL-292
GHSR,AVL-292
ALDH2,AVL-292
COMT,AVL-292
PTPN2,AVL-292
KCNQ2,AVL-292
ITGB2,AVL-292
S1PR1,AVL-292
FOXM1,AVL-292
MAPK14,AVL-292
SLCO2B1,AVL-292
KCNN4,AVL-292
GRIN2A,AVL-292
CACNB4,AVL-292
HSP90AB1,AVL-292
CSK,AVL-292
AKR1C1,AVL-292
CHRM2,AVL-292
TGFBR1,AVL-292
TGM2,AVL-292
CDK4,AVL-292
LPAR1,AVL-292
CHRM3,AVL-292
UGT1A9,AVL-292
HPGDS,AVL-292
ADORA2A,AVL-292
CCND1,AVL-292
KCNN1,AVL-292
ABL1,AVL-292
SSTR2,AVL-292
HSP90AA1,AVL-292
TUBB4B,AVL-292
EZH2,AVL-292
PNLIP,AVL-292
CYP2A6,AVL-292
CSF1R,AVL-292
S100B,AVL-292
PDE7A,AVL-292
AURKB,AVL-292
CDC25A,AVL-292
KCNK1,AVL-292
CA14,AVL-292
ICAM1,AVL-292
GPR55,AVL-292
OPRM1,AVL-292
VEGFA,AVL-292
ADH1C,AVL-292
KCTD16,AVL-292
CYP3A4,AVL-292
AVPR1A,AVL-292
MAPK8,AVL-292
TNNC1,AVL-292
GABRB2,AVL-292
MMP2,AVL-292
RET,AVL-292
NAMPT,AVL-292
CASP3,AVL-292
KRAS,AVL-292
BTK,AVL-292
SLC29A1,AVL-292
FFAR4,AVL-292
PPARD,AVL-292
BAX,AVL-292
RGS4,AVL-292
CDK7,AVL-292
PPAT,AVL-292
KCNJ1,AVL-292
ATP5F1D,AVL-292
PDPK1,AVL-292
IGF1R,AVL-292
MET,AVL-292
GLRA3,AVL-292
PIK3CG,AVL-292
TBXAS1,AVL-292
PLD1,AVL-292
DHH,AVL-292
AKT1,AVL-292
CDK2,AVL-292
PARP3,AVL-292
PLK1,AVL-292
ATM,AVL-292
IMPDH1,AVL-292
TUBB3,AVL-292
BRAF,AVL-292
HBB,AVL-292
LYN,AVL-292
ANXA1,AVL-292
CCR1,AVL-292
ALK,AVL-292
HDAC3,AVL-292
PTGIR,AVL-292
RPL23A,AVL-292
FLT3,AVL-292
MME,AVL-292
CTSG,AVL-292
PAK4,AVL-292
GPR119,AVL-292
SCNN1G,AVL-292
GJB4,AVL-292
S1PR4,AVL-292
IL1B,AVL-292
F10,AVL-292
ELANE,AVL-292
RPL3,AVL-292
ERBB2,AVL-292
AKR1B1,AVL-292
GUCY1B1,AVL-292
ADRA2B,AVL-292
HCK,AVL-292
P3H1,AVL-292
CA5A,AVL-292
DCK,AVL-292
TNF,AVL-292
RNASE1,AVL-292
PTGIS,AVL-292
PRKCE,AVL-292
FPR1,AVL-292
FGF1,AVL-292
CDK9,AVL-292
KDR,AVL-292
EDNRB,AVL-292
ASIC1,AVL-292
JAK1,AVL-292
PLA2G1B,AVL-292
BRD4,AVL-292
TUBB,AVL-292
AGER,AVL-292
S1PR2,AVL-292
PDE4D,AVL-292
CHEK2,AVL-292
PAK1,AVL-292
HDAC6,AVL-292
DYRK1B,AVL-292
USP1,AVL-292
CYP1A2,AVL-292
CACNG1,AVL-292
HTR2C,AVL-292
DNMT3A,AVL-292
PORCN,AVL-292
GAA,AVL-292
PRKCB,AVL-292
PTK2B,AVL-292
CLK1,AVL-292
CACNA2D3,AVL-292
HSD11B1,AVL-292
HTR3A,AVL-292
ADA,AVL-292
PDE3A,AVL-292
NTRK1,AVL-292
LCK,AVL-292
KCNH7,AVL-292
SIRT2,AVL-292
P2RY12,AVL-292
HIF1A,H2L-5765834
CATSPER4,H2L-5765834
DDR2,H2L-5765834
OPRL1,H2L-5765834
SLC7A11,H2L-5765834
FFAR2,H2L-5765834
KCNMA1,H2L-5765834
HRH4,H2L-5765834
GHSR,H2L-5765834
ALDH2,H2L-5765834
COMT,H2L-5765834
PTPN2,H2L-5765834
KCNQ2,H2L-5765834
ITGB2,H2L-5765834
S1PR1,H2L-5765834
FOXM1,H2L-5765834
MAPK14,H2L-5765834
SLCO2B1,H2L-5765834
KCNN4,H2L-5765834
GRIN2A,H2L-5765834
CACNB4,H2L-5765834
HSP90AB1,H2L-5765834
CSK,H2L-5765834
AKR1C1,H2L-5765834
CHRM2,H2L-5765834
TGFBR1,H2L-5765834
TGM2,H2L-5765834
CDK4,H2L-5765834
LPAR1,H2L-5765834
CHRM3,H2L-5765834
UGT1A9,H2L-5765834
HPGDS,H2L-5765834
ADORA2A,H2L-5765834
CCND1,H2L-5765834
KCNN1,H2L-5765834
ABL1,H2L-5765834
SSTR2,H2L-5765834
HSP90AA1,H2L-5765834
TUBB4B,H2L-5765834
EZH2,H2L-5765834
PNLIP,H2L-5765834
CYP2A6,H2L-5765834
CSF1R,H2L-5765834
S100B,H2L-5765834
PDE7A,H2L-5765834
AURKB,H2L-5765834
CDC25A,H2L-5765834
KCNK1,H2L-5765834
CA14,H2L-5765834
ICAM1,H2L-5765834
GPR55,H2L-5765834
OPRM1,H2L-5765834
VEGFA,H2L-5765834
ADH1C,H2L-5765834
KCTD16,H2L-5765834
CYP3A4,H2L-5765834
AVPR1A,H2L-5765834
MAPK8,H2L-5765834
TNNC1,H2L-5765834
GABRB2,H2L-5765834
MMP2,H2L-5765834
RET,H2L-5765834
NAMPT,H2L-5765834
CASP3,H2L-5765834
KRAS,H2L-5765834
BTK,H2L-5765834
SLC29A1,H2L-5765834
FFAR4,H2L-5765834
PPARD,H2L-5765834
BAX,H2L-5765834
RGS4,H2L-5765834
CDK7,H2L-5765834
PPAT,H2L-5765834
KCNJ1,H2L-5765834
ATP5F1D,H2L-5765834
PDPK1,H2L-5765834
IGF1R,H2L-5765834
MET,H2L-5765834
GLRA3,H2L-5765834
PIK3CG,H2L-5765834
TBXAS1,H2L-5765834
PLD1,H2L-5765834
DHH,H2L-5765834
AKT1,H2L-5765834
CDK2,H2L-5765834
PARP3,H2L-5765834
PLK1,H2L-5765834
ATM,H2L-5765834
IMPDH1,H2L-5765834
TUBB3,H2L-5765834
BRAF,H2L-5765834
HBB,H2L-5765834
LYN,H2L-5765834
ANXA1,H2L-5765834
CCR1,H2L-5765834
ALK,H2L-5765834
HDAC3,H2L-5765834
PTGIR,H2L-5765834
RPL23A,H2L-5765834
FLT3,H2L-5765834
MME,H2L-5765834
CTSG,H2L-5765834
PAK4,H2L-5765834
GPR119,H2L-5765834
SCNN1G,H2L-5765834
GJB4,H2L-5765834
S1PR4,H2L-5765834
IL1B,H2L-5765834
F10,H2L-5765834
ELANE,H2L-5765834
RPL3,H2L-5765834
ERBB2,H2L-5765834
AKR1B1,H2L-5765834
GUCY1B1,H2L-5765834
ADRA2B,H2L-5765834
HCK,H2L-5765834
P3H1,H2L-5765834
CA5A,H2L-5765834
DCK,H2L-5765834
TNF,H2L-5765834
RNASE1,H2L-5765834
PTGIS,H2L-5765834
PRKCE,H2L-5765834
FPR1,H2L-5765834
FGF1,H2L-5765834
CDK9,H2L-5765834
KDR,H2L-5765834
EDNRB,H2L-5765834
ASIC1,H2L-5765834
JAK1,H2L-5765834
PLA2G1B,H2L-5765834
BRD4,H2L-5765834
TUBB,H2L-5765834
AGER,H2L-5765834
S1PR2,H2L-5765834
PDE4D,H2L-5765834
CHEK2,H2L-5765834
PAK1,H2L-5765834
HDAC6,H2L-5765834
DYRK1B,H2L-5765834
USP1,H2L-5765834
CYP1A2,H2L-5765834
CACNG1,H2L-5765834
HTR2C,H2L-5765834
DNMT3A,H2L-5765834
PORCN,H2L-5765834
GAA,H2L-5765834
PRKCB,H2L-5765834
PTK2B,H2L-5765834
CLK1,H2L-5765834
CACNA2D3,H2L-5765834
HSD11B1,H2L-5765834
HTR3A,H2L-5765834
ADA,H2L-5765834
PDE3A,H2L-5765834
NTRK1,H2L-5765834
LCK,H2L-5765834
KCNH7,H2L-5765834
SIRT2,H2L-5765834
P2RY12,H2L-5765834
HIF1A,thiostrepton
CATSPER4,thiostrepton
DDR2,thiostrepton
OPRL1,thiostrepton
SLC7A11,thiostrepton
FFAR2,thiostrepton
KCNMA1,thiostrepton
HRH4,thiostrepton
GHSR,thiostrepton
ALDH2,thiostrepton
COMT,thiostrepton
PTPN2,thiostrepton
KCNQ2,thiostrepton
ITGB2,thiostrepton
S1PR1,thiostrepton
FOXM1,thiostrepton
MAPK14,thiostrepton
SLCO2B1,thiostrepton
KCNN4,thiostrepton
GRIN2A,thiostrepton
CACNB4,thiostrepton
HSP90AB1,thiostrepton
CSK,thiostrepton
AKR1C1,thiostrepton
CHRM2,thiostrepton
TGFBR1,thiostrepton
TGM2,thiostrepton
CDK4,thiostrepton
LPAR1,thiostrepton
CHRM3,thiostrepton
UGT1A9,thiostrepton
HPGDS,thiostrepton
ADORA2A,thiostrepton
CCND1,thiostrepton
KCNN1,thiostrepton
ABL1,thiostrepton
SSTR2,thiostrepton
HSP90AA1,thiostrepton
TUBB4B,thiostrepton
EZH2,thiostrepton
PNLIP,thiostrepton
CYP2A6,thiostrepton
CSF1R,thiostrepton
S100B,thiostrepton
PDE7A,thiostrepton
AURKB,thiostrepton
CDC25A,thiostrepton
KCNK1,thiostrepton
CA14,thiostrepton
ICAM1,thiostrepton
GPR55,thiostrepton
OPRM1,thiostrepton
VEGFA,thiostrepton
ADH1C,thiostrepton
KCTD16,thiostrepton
CYP3A4,thiostrepton
AVPR1A,thiostrepton
MAPK8,thiostrepton
TNNC1,thiostrepton
GABRB2,thiostrepton
MMP2,thiostrepton
RET,thiostrepton
NAMPT,thiostrepton
CASP3,thiostrepton
KRAS,thiostrepton
BTK,thiostrepton
SLC29A1,thiostrepton
FFAR4,thiostrepton
PPARD,thiostrepton
BAX,thiostrepton
RGS4,thiostrepton
CDK7,thiostrepton
PPAT,thiostrepton
KCNJ1,thiostrepton
ATP5F1D,thiostrepton
PDPK1,thiostrepton
IGF1R,thiostrepton
MET,thiostrepton
GLRA3,thiostrepton
PIK3CG,thiostrepton
TBXAS1,thiostrepton
PLD1,thiostrepton
DHH,thiostrepton
AKT1,thiostrepton
CDK2,thiostrepton
PARP3,thiostrepton
PLK1,thiostrepton
ATM,thiostrepton
IMPDH1,thiostrepton
TUBB3,thiostrepton
BRAF,thiostrepton
HBB,thiostrepton
LYN,thiostrepton
ANXA1,thiostrepton
CCR1,thiostrepton
ALK,thiostrepton
HDAC3,thiostrepton
PTGIR,thiostrepton
RPL23A,thiostrepton
FLT3,thiostrepton
MME,thiostrepton
CTSG,thiostrepton
PAK4,thiostrepton
GPR119,thiostrepton
SCNN1G,thiostrepton
GJB4,thiostrepton
S1PR4,thiostrepton
IL1B,thiostrepton
F10,thiostrepton
ELANE,thiostrepton
RPL3,thiostrepton
ERBB2,thiostrepton
AKR1B1,thiostrepton
GUCY1B1,thiostrepton
ADRA2B,thiostrepton
HCK,thiostrepton
P3H1,thiostrepton
CA5A,thiostrepton
DCK,thiostrepton
TNF,thiostrepton
RNASE1,thiostrepton
PTGIS,thiostrepton
PRKCE,thiostrepton
FPR1,thiostrepton
FGF1,thiostrepton
CDK9,thiostrepton
KDR,thiostrepton
EDNRB,thiostrepton
ASIC1,thiostrepton
JAK1,thiostrepton
PLA2G1B,thiostrepton
BRD4,thiostrepton
TUBB,thiostrepton
