gene,compound
HRH4,NNC-55-0396
GHSR,NNC-55-0396
ALDH2,NNC-55-0396
PTPN2,NNC-55-0396
ITGB2,NNC-55-0396
FOXM1,NNC-55-0396
MAPK14,NNC-55-0396
SLCO2B1,NNC-55-0396
KCNN4,NNC-55-0396
GRIN2A,NNC-55-0396
CACNB4,NNC-55-0396
CDK4,NNC-55-0396
CHRM3,NNC-55-0396
UGT1A9,NNC-55-0396
ADORA2A,NNC-55-0396
SSTR2,NNC-55-0396
HSP90AA1,NNC-55-0396
TUBB4B,NNC-55-0396
PNLIP,NNC-55-0396
CSF1R,NNC-55-0396
S100B,NNC-55-0396
PDE7A,NNC-55-0396
AURKB,NNC-55-0396
CDC25A,NNC-55-0396
KCNK1,NNC-55-0396
CA14,NNC-55-0396
GPR55,NNC-55-0396
OPRM1,NNC-55-0396
VEGFA,NNC-55-0396
CYP3A4,NNC-55-0396
RET,NNC-55-0396
KRAS,NNC-55-0396
SLC29A1,NNC-55-0396
BAX,NNC-55-0396
RGS4,NNC-55-0396
CDK7,NNC-55-0396
PPAT,NNC-55-0396
KCNJ1,NNC-55-0396
ATP5F1D,NNC-55-0396
PDPK1,NNC-55-0396
TBXAS1,NNC-55-0396
PLD1,NNC-55-0396
DHH,NNC-55-0396
CDK2,NNC-55-0396
PARP3,NNC-55-0396
PLK1,NNC-55-0396
BRAF,NNC-55-0396
LYN,NNC-55-0396
ANXA1,NNC-55-0396
CCR1,NNC-55-0396
ALK,NNC-55-0396
PTGIR,NNC-55-0396
MME,NNC-55-0396
CTSG,NNC-55-0396
PAK4,NNC-55-0396
SCNN1G,NNC-55-0396
GJB4,NNC-55-0396
IL1B,NNC-55-0396
AKR1B1,NNC-55-0396
GUCY1B1,NNC-55-0396
ADRA2B,NNC-55-0396
HCK,NNC-55-0396
TNF,NNC-55-0396
RNASE1,NNC-55-0396
PRKCE,NNC-55-0396
FPR1,NNC-55-0396
CDK9,NNC-55-0396
KDR,NNC-55-0396
ASIC1,NNC-55-0396
JAK1,NNC-55-0396
PLA2G1B,NNC-55-0396
BRD4,NNC-55-0396
AGER,NNC-55-0396
CHEK2,NNC-55-0396
HDAC6,NNC-55-0396
CYP1A2,NNC-55-0396
HTR2C,NNC-55-0396
GAA,NNC-55-0396
PRKCB,NNC-55-0396
HTR3A,NNC-55-0396
ADA,NNC-55-0396
KCNH7,NNC-55-0396
SIRT2,NNC-55-0396
CATSPER4,WH-4-023
OPRL1,WH-4-023
FFAR2,WH-4-023
KCNMA1,WH-4-023
HRH4,WH-4-023
GHSR,WH-4-023
ALDH2,WH-4-023
COMT,WH-4-023
KCNQ2,WH-4-023
ITGB2,WH-4-023
FOXM1,WH-4-023
MAPK14,WH-4-023
SLCO2B1,WH-4-023
CACNB4,WH-4-023
CSK,WH-4-023
AKR1C1,WH-4-023
CHRM2,WH-4-023
TGM2,WH-4-023
CDK4,WH-4-023
LPAR1,WH-4-023
UGT1A9,WH-4-023
HPGDS,WH-4-023
CCND1,WH-4-023
KCNN1,WH-4-023
ABL1,WH-4-023
TUBB4B,WH-4-023
EZH2,WH-4-023
CSF1R,WH-4-023
PDE7A,WH-4-023
AURKB,WH-4-023
CDC25A,WH-4-023
KCNK1,WH-4-023
CA14,WH-4-023
ICAM1,WH-4-023
GPR55,WH-4-023
OPRM1,WH-4-023
ADH1C,WH-4-023
KCTD16,WH-4-023
CYP3A4,WH-4-023
MMP2,WH-4-023
RET,WH-4-023
CASP3,WH-4-023
KRAS,WH-4-023
BTK,WH-4-023
SLC29A1,WH-4-023
FFAR4,WH-4-023
PPARD,WH-4-023
CDK7,WH-4-023
PPAT,WH-4-023
KCNJ1,WH-4-023
PDPK1,WH-4-023
IGF1R,WH-4-023
MET,WH-4-023
GLRA3,WH-4-023
PIK3CG,WH-4-023
TBXAS1,WH-4-023
PLD1,WH-4-023
DHH,WH-4-023
AKT1,WH-4-023
PARP3,WH-4-023
ATM,WH-4-023
IMPDH1,WH-4-023
TUBB3,WH-4-023
BRAF,WH-4-023
HBB,WH-4-023
LYN,WH-4-023
HDAC3,WH-4-023
PTGIR,WH-4-023
MME,WH-4-023
PAK4,WH-4-023
GPR119,WH-4-023
IL1B,WH-4-023
ELANE,WH-4-023
RPL3,WH-4-023
ERBB2,WH-4-023
AKR1B1,WH-4-023
ADRA2B,WH-4-023
HCK,WH-4-023
CA5A,WH-4-023
DCK,WH-4-023
TNF,WH-4-023
PTGIS,WH-4-023
PRKCE,WH-4-023
FGF1,WH-4-023
CDK9,WH-4-023
KDR,WH-4-023
EDNRB,WH-4-023
PLA2G1B,WH-4-023
BRD4,WH-4-023
TUBB,WH-4-023
AGER,WH-4-023
S1PR2,WH-4-023
PDE4D,WH-4-023
PAK1,WH-4-023
DYRK1B,WH-4-023
USP1,WH-4-023
PRKCB,WH-4-023
CLK1,WH-4-023
HTR3A,WH-4-023
ADA,WH-4-023
PDE3A,WH-4-023
NTRK1,WH-4-023
LCK,WH-4-023
KCNH7,WH-4-023
SIRT2,WH-4-023
P2RY12,WH-4-023
CATSPER4,flupirtine
DDR2,flupirtine
OPRL1,flupirtine
FFAR2,flupirtine
COMT,flupirtine
KCNQ2,flupirtine
ITGB2,flupirtine
S1PR1,flupirtine
MAPK14,flupirtine
KCNN4,flupirtine
GRIN2A,flupirtine
CACNB4,flupirtine
HSP90AB1,flupirtine
CSK,flupirtine
AKR1C1,flupirtine
TGFBR1,flupirtine
TGM2,flupirtine
CDK4,flupirtine
LPAR1,flupirtine
CHRM3,flupirtine
UGT1A9,flupirtine
HPGDS,flupirtine
ABL1,flupirtine
TUBB4B,flupirtine
EZH2,flupirtine
PNLIP,flupirtine
S100B,flupirtine
PDE7A,flupirtine
KCNK1,flupirtine
CA14,flupirtine
ICAM1,flupirtine
GPR55,flupirtine
OPRM1,flupirtine
VEGFA,flupirtine
ADH1C,flupirtine
KCTD16,flupirtine
CYP3A4,flupirtine
AVPR1A,flupirtine
TNNC1,flupirtine
GABRB2,flupirtine
MMP2,flupirtine
RET,flupirtine
KRAS,flupirtine
BTK,flupirtine
SLC29A1,flupirtine
FFAR4,flupirtine
CDK7,flupirtine
KCNJ1,flupirtine
ATP5F1D,flupirtine
PDPK1,flupirtine
IGF1R,flupirtine
MET,flupirtine
GLRA3,flupirtine
PIK3CG,flupirtine
TBXAS1,flupirtine
PLD1,flupirtine
DHH,flupirtine
PLK1,flupirtine
ATM,flupirtine
IMPDH1,flupirtine
BRAF,flupirtine
HBB,flupirtine
LYN,flupirtine
ALK,flupirtine
PTGIR,flupirtine
FLT3,flupirtine
GPR119,flupirtine
SCNN1G,flupirtine
S1PR4,flupirtine
ELANE,flupirtine
AKR1B1,flupirtine
GUCY1B1,flupirtine
HCK,flupirtine
CA5A,flupirtine
TNF,flupirtine
RNASE1,flupirtine
PTGIS,flupirtine
FPR1,flupirtine
CDK9,flupirtine
KDR,flupirtine
EDNRB,flupirtine
JAK1,flupirtine
BRD4,flupirtine
PAK1,flupirtine
HDAC6,flupirtine
CYP1A2,flupirtine
DNMT3A,flupirtine
PORCN,flupirtine
GAA,flupirtine
PRKCB,flupirtine
PTK2B,flupirtine
CLK1,flupirtine
HTR3A,flupirtine
PDE3A,flupirtine
NTRK1,flupirtine
LCK,flupirtine
KCNH7,flupirtine
SIRT2,flupirtine
P2RY12,flupirtine
CATSPER4,ZK811752
OPRL1,ZK811752
SLC7A11,ZK811752
FFAR2,ZK811752
KCNMA1,ZK811752
HRH4,ZK811752
GHSR,ZK811752
ALDH2,ZK811752
KCNQ2,ZK811752
S1PR1,ZK811752
FOXM1,ZK811752
SLCO2B1,ZK811752
KCNN4,ZK811752
CACNB4,ZK811752
CSK,ZK811752
AKR1C1,ZK811752
CHRM2,ZK811752
TGM2,ZK811752
LPAR1,ZK811752
CHRM3,ZK811752
UGT1A9,ZK811752
ADORA2A,ZK811752
KCNN1,ZK811752
ABL1,ZK811752
SSTR2,ZK811752
TUBB4B,ZK811752
PNLIP,ZK811752
AURKB,ZK811752
CDC25A,ZK811752
ICAM1,ZK811752
OPRM1,ZK811752
KCTD16,ZK811752
CYP3A4,ZK811752
AVPR1A,ZK811752
TNNC1,ZK811752
GABRB2,ZK811752
MMP2,ZK811752
NAMPT,ZK811752
CASP3,ZK811752
KRAS,ZK811752
BTK,ZK811752
FFAR4,ZK811752
PPARD,ZK811752
BAX,ZK811752
RGS4,ZK811752
PPAT,ZK811752
IGF1R,ZK811752
MET,ZK811752
TBXAS1,ZK811752
PLD1,ZK811752
DHH,ZK811752
PARP3,ZK811752
PLK1,ZK811752
ATM,ZK811752
IMPDH1,ZK811752
TUBB3,ZK811752
HBB,ZK811752
ANXA1,ZK811752
PTGIR,ZK811752
FLT3,ZK811752
CTSG,ZK811752
GPR119,ZK811752
GJB4,ZK811752
S1PR4,ZK811752
IL1B,ZK811752
F10,ZK811752
ELANE,ZK811752
RPL3,ZK811752
HCK,ZK811752
P3H1,ZK811752
CA5A,ZK811752
RNASE1,ZK811752
PTGIS,ZK811752
PRKCE,ZK811752
FGF1,ZK811752
CDK9,ZK811752
JAK1,ZK811752
BRD4,ZK811752
S1PR2,ZK811752
PDE4D,ZK811752
PAK1,ZK811752
CYP1A2,ZK811752
DNMT3A,ZK811752
PORCN,ZK811752
GAA,ZK811752
PRKCB,ZK811752
PTK2B,ZK811752
PDE3A,ZK811752
NTRK1,ZK811752
LCK,ZK811752
SIRT2,ZK811752
SLC7A11,dexamethasone
FFAR2,dexamethasone
GHSR,dexamethasone
ALDH2,dexamethasone
COMT,dexamethasone
KCNQ2,dexamethasone
ITGB2,dexamethasone
S1PR1,dexamethasone
FOXM1,dexamethasone
MAPK14,dexamethasone
KCNN4,dexamethasone
HSP90AB1,dexamethasone
CSK,dexamethasone
CHRM2,dexamethasone
CDK4,dexamethasone
LPAR1,dexamethasone
ADORA2A,dexamethasone
KCNN1,dexamethasone
ABL1,dexamethasone
HSP90AA1,dexamethasone
EZH2,dexamethasone
CYP2A6,dexamethasone
CSF1R,dexamethasone
PDE7A,dexamethasone
KCNK1,dexamethasone
GPR55,dexamethasone
OPRM1,dexamethasone
ADH1C,dexamethasone
KCTD16,dexamethasone
CYP3A4,dexamethasone
AVPR1A,dexamethasone
MAPK8,dexamethasone
TNNC1,dexamethasone
GABRB2,dexamethasone
MMP2,dexamethasone
RET,dexamethasone
NAMPT,dexamethasone
BTK,dexamethasone
FFAR4,dexamethasone
PPARD,dexamethasone
CDK7,dexamethasone
PDPK1,dexamethasone
IGF1R,dexamethasone
MET,dexamethasone
GLRA3,dexamethasone
TBXAS1,dexamethasone
PLD1,dexamethasone
DHH,dexamethasone
CDK2,dexamethasone
PLK1,dexamethasone
TUBB3,dexamethasone
BRAF,dexamethasone
HBB,dexamethasone
CCR1,dexamethasone
ALK,dexamethasone
HDAC3,dexamethasone
RPL23A,dexamethasone
FLT3,dexamethasone
PAK4,dexamethasone
GPR119,dexamethasone
SCNN1G,dexamethasone
IL1B,dexamethasone
ELANE,dexamethasone
RPL3,dexamethasone
ERBB2,dexamethasone
GUCY1B1,dexamethasone
ADRA2B,dexamethasone
HCK,dexamethasone
P3H1,dexamethasone
TNF,dexamethasone
RNASE1,dexamethasone
PTGIS,dexamethasone
PRKCE,dexamethasone
FPR1,dexamethasone
FGF1,dexamethasone
CDK9,dexamethasone
ASIC1,dexamethasone
JAK1,dexamethasone
BRD4,dexamethasone
AGER,dexamethasone
S1PR2,dexamethasone
PDE4D,dexamethasone
CHEK2,dexamethasone
HDAC6,dexamethasone
DYRK1B,dexamethasone
CYP1A2,dexamethasone
CACNG1,dexamethasone
DNMT3A,dexamethasone
PORCN,dexamethasone
CACNA2D3,dexamethasone
HTR3A,dexamethasone
NTRK1,dexamethasone
LCK,dexamethasone
P2RY12,dexamethasone
HIF1A,PP-1
OPRL1,PP-1
FFAR2,PP-1
GHSR,PP-1
ALDH2,PP-1
COMT,PP-1
KCNQ2,PP-1
S1PR1,PP-1
FOXM1,PP-1
MAPK14,PP-1
SLCO2B1,PP-1
CACNB4,PP-1
HSP90AB1,PP-1
CHRM2,PP-1
TGFBR1,PP-1
UGT1A9,PP-1
HPGDS,PP-1
CCND1,PP-1
KCNN1,PP-1
ABL1,PP-1
SSTR2,PP-1
TUBB4B,PP-1
EZH2,PP-1
PNLIP,PP-1
CYP2A6,PP-1
KCNK1,PP-1
CA14,PP-1
ICAM1,PP-1
GPR55,PP-1
OPRM1,PP-1
VEGFA,PP-1
ADH1C,PP-1
MAPK8,PP-1
TNNC1,PP-1
KRAS,PP-1
SLC29A1,PP-1
FFAR4,PP-1
CDK7,PP-1
KCNJ1,PP-1
PDPK1,PP-1
IGF1R,PP-1
GLRA3,PP-1
PIK3CG,PP-1
TBXAS1,PP-1
AKT1,PP-1
PARP3,PP-1
PLK1,PP-1
ATM,PP-1
IMPDH1,PP-1
TUBB3,PP-1
BRAF,PP-1
HBB,PP-1
LYN,PP-1
CCR1,PP-1
HDAC3,PP-1
PTGIR,PP-1
RPL23A,PP-1
MME,PP-1
PAK4,PP-1
GPR119,PP-1
SCNN1G,PP-1
GJB4,PP-1
F10,PP-1
RPL3,PP-1
GUCY1B1,PP-1
ADRA2B,PP-1
HCK,PP-1
P3H1,PP-1
CA5A,PP-1
DCK,PP-1
TNF,PP-1
PTGIS,PP-1
PRKCE,PP-1
FGF1,PP-1
CDK9,PP-1
JAK1,PP-1
PLA2G1B,PP-1
TUBB,PP-1
S1PR2,PP-1
CHEK2,PP-1
PAK1,PP-1
HDAC6,PP-1
DYRK1B,PP-1
CACNG1,PP-1
HTR2C,PP-1
DNMT3A,PP-1
PORCN,PP-1
GAA,PP-1
PRKCB,PP-1
PTK2B,PP-1
CLK1,PP-1
HTR3A,PP-1
ADA,PP-1
P2RY12,PP-1
OPRL1,DDR1-IN-1
KCNMA1,DDR1-IN-1
HRH4,DDR1-IN-1
COMT,DDR1-IN-1
KCNQ2,DDR1-IN-1
ITGB2,DDR1-IN-1
S1PR1,DDR1-IN-1
SLCO2B1,DDR1-IN-1
GRIN2A,DDR1-IN-1
CACNB4,DDR1-IN-1
HSP90AB1,DDR1-IN-1
CSK,DDR1-IN-1
CHRM2,DDR1-IN-1
TGM2,DDR1-IN-1
CDK4,DDR1-IN-1
LPAR1,DDR1-IN-1
CHRM3,DDR1-IN-1
UGT1A9,DDR1-IN-1
ADORA2A,DDR1-IN-1
CCND1,DDR1-IN-1
KCNN1,DDR1-IN-1
ABL1,DDR1-IN-1
SSTR2,DDR1-IN-1
PNLIP,DDR1-IN-1
CSF1R,DDR1-IN-1
PDE7A,DDR1-IN-1
AURKB,DDR1-IN-1
CDC25A,DDR1-IN-1
KCNK1,DDR1-IN-1
ICAM1,DDR1-IN-1
ADH1C,DDR1-IN-1
CYP3A4,DDR1-IN-1
MMP2,DDR1-IN-1
RET,DDR1-IN-1
NAMPT,DDR1-IN-1
BTK,DDR1-IN-1
BAX,DDR1-IN-1
PPAT,DDR1-IN-1
KCNJ1,DDR1-IN-1
ATP5F1D,DDR1-IN-1
PDPK1,DDR1-IN-1
GLRA3,DDR1-IN-1
PIK3CG,DDR1-IN-1
TBXAS1,DDR1-IN-1
PLD1,DDR1-IN-1
DHH,DDR1-IN-1
AKT1,DDR1-IN-1
CDK2,DDR1-IN-1
PARP3,DDR1-IN-1
ATM,DDR1-IN-1
IMPDH1,DDR1-IN-1
TUBB3,DDR1-IN-1
HBB,DDR1-IN-1
LYN,DDR1-IN-1
ANXA1,DDR1-IN-1
CCR1,DDR1-IN-1
ALK,DDR1-IN-1
HDAC3,DDR1-IN-1
RPL23A,DDR1-IN-1
FLT3,DDR1-IN-1
MME,DDR1-IN-1
CTSG,DDR1-IN-1
PAK4,DDR1-IN-1
SCNN1G,DDR1-IN-1
S1PR4,DDR1-IN-1
ELANE,DDR1-IN-1
ERBB2,DDR1-IN-1
GUCY1B1,DDR1-IN-1
ADRA2B,DDR1-IN-1
TNF,DDR1-IN-1
PTGIS,DDR1-IN-1
FPR1,DDR1-IN-1
FGF1,DDR1-IN-1
CDK9,DDR1-IN-1
EDNRB,DDR1-IN-1
ASIC1,DDR1-IN-1
JAK1,DDR1-IN-1
PDE4D,DDR1-IN-1
DYRK1B,DDR1-IN-1
USP1,DDR1-IN-1
CYP1A2,DDR1-IN-1
DNMT3A,DDR1-IN-1
PORCN,DDR1-IN-1
PTK2B,DDR1-IN-1
HSD11B1,DDR1-IN-1
HTR3A,DDR1-IN-1
NTRK1,DDR1-IN-1
LCK,DDR1-IN-1
KCNH7,DDR1-IN-1
SIRT2,DDR1-IN-1
P2RY12,DDR1-IN-1
HIF1A,AVL-292
OPRL1,AVL-292
FFAR2,AVL-292
HRH4,AVL-292
ALDH2,AVL-292
COMT,AVL-292
KCNQ2,AVL-292
S1PR1,AVL-292
CACNB4,AVL-292
HSP90AB1,AVL-292
CSK,AVL-292
TGM2,AVL-292
LPAR1,AVL-292
CHRM3,AVL-292
HPGDS,AVL-292
ADORA2A,AVL-292
CCND1,AVL-292
ABL1,AVL-292
SSTR2,AVL-292
HSP90AA1,AVL-292
EZH2,AVL-292
CYP2A6,AVL-292
AURKB,AVL-292
CA14,AVL-292
VEGFA,AVL-292
ADH1C,AVL-292
CYP3A4,AVL-292
GABRB2,AVL-292
RET,AVL-292
NAMPT,AVL-292
KRAS,AVL-292
BTK,AVL-292
SLC29A1,AVL-292
BAX,AVL-292
CDK7,AVL-292
PDPK1,AVL-292
MET,AVL-292
GLRA3,AVL-292
PIK3CG,AVL-292
DHH,AVL-292
AKT1,AVL-292
CDK2,AVL-292
PARP3,AVL-292
PLK1,AVL-292
IMPDH1,AVL-292
TUBB3,AVL-292
HBB,AVL-292
LYN,AVL-292
ANXA1,AVL-292
ALK,AVL-292
PTGIR,AVL-292
RPL23A,AVL-292
FLT3,AVL-292
CTSG,AVL-292
PAK4,AVL-292
GPR119,AVL-292
GJB4,AVL-292
S1PR4,AVL-292
IL1B,AVL-292
F10,AVL-292
ERBB2,AVL-292
AKR1B1,AVL-292
P3H1,AVL-292
TNF,AVL-292
RNASE1,AVL-292
PTGIS,AVL-292
EDNRB,AVL-292
JAK1,AVL-292
BRD4,AVL-292
AGER,AVL-292
S1PR2,AVL-292
PAK1,AVL-292
HDAC6,AVL-292
DYRK1B,AVL-292
USP1,AVL-292
CYP1A2,AVL-292
CACNG1,AVL-292
PORCN,AVL-292
GAA,AVL-292
PRKCB,AVL-292
CLK1,AVL-292
HSD11B1,AVL-292
HTR3A,AVL-292
NTRK1,AVL-292
KCNH7,AVL-292
SIRT2,AVL-292
HIF1A,H2L-5765834
CATSPER4,H2L-5765834
DDR2,H2L-5765834
SLC7A11,H2L-5765834
FFAR2,H2L-5765834
KCNMA1,H2L-5765834
HRH4,H2L-5765834
ALDH2,H2L-5765834
PTPN2,H2L-5765834
KCNQ2,H2L-5765834
S1PR1,H2L-5765834
SLCO2B1,H2L-5765834
GRIN2A,H2L-5765834
CACNB4,H2L-5765834
CSK,H2L-5765834
CHRM2,H2L-5765834
TGFBR1,H2L-5765834
TGM2,H2L-5765834
CDK4,H2L-5765834
LPAR1,H2L-5765834
CHRM3,H2L-5765834
UGT1A9,H2L-5765834
CCND1,H2L-5765834
KCNN1,H2L-5765834
SSTR2,H2L-5765834
HSP90AA1,H2L-5765834
EZH2,H2L-5765834
CYP2A6,H2L-5765834
CSF1R,H2L-5765834
S100B,H2L-5765834
AURKB,H2L-5765834
CDC25A,H2L-5765834
CA14,H2L-5765834
ICAM1,H2L-5765834
OPRM1,H2L-5765834
VEGFA,H2L-5765834
KCTD16,H2L-5765834
MAPK8,H2L-5765834
TNNC1,H2L-5765834
GABRB2,H2L-5765834
CASP3,H2L-5765834
BTK,H2L-5765834
SLC29A1,H2L-5765834
FFAR4,H2L-5765834
BAX,H2L-5765834
ATP5F1D,H2L-5765834
GLRA3,H2L-5765834
PIK3CG,H2L-5765834
AKT1,H2L-5765834
PARP3,H2L-5765834
IMPDH1,H2L-5765834
TUBB3,H2L-5765834
BRAF,H2L-5765834
HBB,H2L-5765834
LYN,H2L-5765834
ANXA1,H2L-5765834
CCR1,H2L-5765834
ALK,H2L-5765834
MME,H2L-5765834
CTSG,H2L-5765834
PAK4,H2L-5765834
GJB4,H2L-5765834
S1PR4,H2L-5765834
F10,H2L-5765834
ELANE,H2L-5765834
ERBB2,H2L-5765834
GUCY1B1,H2L-5765834
ADRA2B,H2L-5765834
HCK,H2L-5765834
P3H1,H2L-5765834
DCK,H2L-5765834
RNASE1,H2L-5765834
PRKCE,H2L-5765834
FGF1,H2L-5765834
CDK9,H2L-5765834
KDR,H2L-5765834
EDNRB,H2L-5765834
ASIC1,H2L-5765834
AGER,H2L-5765834
S1PR2,H2L-5765834
PDE4D,H2L-5765834
PAK1,H2L-5765834
DYRK1B,H2L-5765834
USP1,H2L-5765834
CACNG1,H2L-5765834
HTR2C,H2L-5765834
DNMT3A,H2L-5765834
PORCN,H2L-5765834
GAA,H2L-5765834
PRKCB,H2L-5765834
CLK1,H2L-5765834
CACNA2D3,H2L-5765834
HSD11B1,H2L-5765834
HTR3A,H2L-5765834
ADA,H2L-5765834
PDE3A,H2L-5765834
LCK,H2L-5765834
KCNH7,H2L-5765834
P2RY12,H2L-5765834
HIF1A,thiostrepton
DDR2,thiostrepton
SLC7A11,thiostrepton
FFAR2,thiostrepton
KCNMA1,thiostrepton
HRH4,thiostrepton
GHSR,thiostrepton
ALDH2,thiostrepton
COMT,thiostrepton
KCNQ2,thiostrepton
ITGB2,thiostrepton
S1PR1,thiostrepton
FOXM1,thiostrepton
MAPK14,thiostrepton
SLCO2B1,thiostrepton
KCNN4,thiostrepton
GRIN2A,thiostrepton
CACNB4,thiostrepton
CSK,thiostrepton
AKR1C1,thiostrepton
TGFBR1,thiostrepton
CDK4,thiostrepton
CHRM3,thiostrepton
UGT1A9,thiostrepton
ABL1,thiostrepton
HSP90AA1,thiostrepton
TUBB4B,thiostrepton
EZH2,thiostrepton
CSF1R,thiostrepton
S100B,thiostrepton
PDE7A,thiostrepton
CDC25A,thiostrepton
ICAM1,thiostrepton
GPR55,thiostrepton
ADH1C,thiostrepton
KCTD16,thiostrepton
AVPR1A,thiostrepton
MMP2,thiostrepton
RET,thiostrepton
CASP3,thiostrepton
BTK,thiostrepton
FFAR4,thiostrepton
PPARD,thiostrepton
CDK7,thiostrepton
PPAT,thiostrepton
KCNJ1,thiostrepton
ATP5F1D,thiostrepton
PDPK1,thiostrepton
IGF1R,thiostrepton
TBXAS1,thiostrepton
